epoch,average_epoch_reward,average_blue_reward,average_red_reward,average_episode_length,win_rate_blue,win_rate_red,tie_rate,max_move_reward,epoch_time_s
18,11.809074749755721,12.612784685145833,-0.8037099353901106,51.9942,0.499,0.4314,0.0696,12.4,112.04
19,12.327364702290982,11.273595105090973,1.0537695972000092,52.6566,0.4984,0.438,0.0636,12.4,112.54
20,11.89916579250804,12.067969595022387,-0.1688038025143485,52.6076,0.5002,0.435,0.0648,12.4,114.17
21,11.14809742163299,11.964918123137428,-0.8168207015044388,51.7512,0.5004,0.4326,0.067,12.4,112.36
22,11.051533087966577,12.296992703749906,-1.2454596157833289,53.0746,0.503,0.4282,0.0688,12.4,115.03
23,10.180783562807601,10.771926210676373,-0.5911426478687738,51.833,0.496,0.4366,0.0674,12.4,112.63
24,10.981044470257691,10.554194473514615,0.4268499967430753,52.5082,0.4964,0.4384,0.0652,12.4,114.94
25,9.651039052004782,11.321393632166476,-1.670354580161694,52.9144,0.5056,0.43,0.0644,12.4,113.54
26,10.430368740996144,9.731907313520551,0.6984614274755915,52.737,0.493,0.44,0.067,12.4,111.95
27,10.160364208889607,8.149071416895222,2.011292791994384,52.9276,0.4906,0.4462,0.0632,12.4,112.66
28,10.82717182301936,9.974068764312293,0.8531030587070673,53.0524,0.4966,0.4394,0.064,12.4,110.87
29,9.574389337360431,11.138331563280797,-1.5639422259203652,53.1328,0.497,0.4332,0.0698,12.4,110.4
30,12.9813747101275,11.632075233010532,1.349299477116969,51.5388,0.4948,0.4412,0.064,12.4,110.5
31,11.803211539980461,11.166479857279493,0.6367316827009688,53.2976,0.495,0.4418,0.0632,12.4,114.91
32,9.84177077762578,10.181666823259748,-0.33989604563396913,52.454,0.4956,0.4382,0.0662,12.4,112.21
33,10.129265475928534,11.038319403075988,-0.9090539271474541,52.6058,0.4956,0.4342,0.0702,12.4,116.91
34,8.913017166648137,10.302823858892827,-1.3898066922446901,52.7938,0.4954,0.436,0.0686,12.4,112.55
35,9.149895314692337,10.560003659673058,-1.4101083449807228,53.405,0.4964,0.4342,0.0694,12.4,112.02
36,11.534531178301128,9.961159266213043,1.5733719120880836,52.19,0.4928,0.4442,0.063,12.4,112.58
37,10.294901631679078,11.309422016028114,-1.0145203843490354,52.7026,0.4972,0.434,0.0688,12.4,116.63
38,9.396384090636223,7.136413890628376,2.2599702000078485,53.1042,0.48,0.447,0.073,12.4,116.37
39,11.498320378227453,10.833755134589907,0.664565243637544,52.7186,0.4976,0.4406,0.0618,12.4,111.32
40,10.71215155023695,10.621746893655455,0.09040465658149531,53.2404,0.4952,0.4384,0.0664,12.4,116.16
41,9.223385708906191,10.2760135862426,-1.0526278773364082,53.7358,0.4944,0.4352,0.0704,12.4,114.92
42,9.649329080389192,13.167345383390503,-3.51801630300131,53.5804,0.5062,0.4206,0.0732,12.4,128.56
43,8.001783074374504,7.983172542491929,0.018610531882574954,52.9942,0.4818,0.4362,0.082,12.4,115.39
44,10.22431271067229,12.785154751852453,-2.5608420411801633,53.1808,0.503,0.424,0.073,12.4,115.55
45,8.666985624513623,9.117096471492987,-0.4501108469793625,52.8978,0.4888,0.4394,0.0718,12.4,116.89
46,10.030261595840129,9.507921301774745,0.5223402940653835,52.7618,0.4896,0.4396,0.0708,12.4,113.16
47,8.524595338123097,9.861603617734646,-1.3370082796115492,53.1388,0.4946,0.4348,0.0706,12.4,113.92
48,7.7080000036755605,8.595116687277173,-0.8871166836016133,54.3144,0.487,0.4384,0.0746,12.4,117.54
49,11.78679071457613,14.397498998088532,-2.6107082835124014,52.536,0.5066,0.4246,0.0688,12.4,113.24
50,8.846328185049812,7.847038419534459,0.9992897655153509,54.0418,0.4818,0.4428,0.0754,12.4,118.13
51,10.969113793566743,10.261607514263122,0.707506279303621,53.4896,0.4926,0.4414,0.066,12.4,116.55
52,9.424581510822685,9.930195546191502,-0.5056140353688156,53.7138,0.4894,0.4392,0.0714,12.4,125.81
53,10.365411952848708,12.915582580359848,-2.5501706275111395,53.684,0.5068,0.4284,0.0648,12.4,118.0
54,9.106178935268378,10.078583434396954,-0.9724044991285761,53.5182,0.4956,0.4342,0.0702,12.4,118.08
55,8.754645094826886,9.358077471075315,-0.6034323762484288,52.7234,0.4942,0.4364,0.0694,12.4,115.97
56,8.947304512997572,8.921219061882498,0.02608545111507395,53.1,0.4852,0.4412,0.0736,12.4,117.64
57,9.336551428585278,8.7348999770644,0.6016514515208784,53.0006,0.4898,0.4414,0.0688,12.4,116.45
