epoch,average_epoch_reward,average_blue_reward,average_red_reward,average_episode_length,win_rate_blue,win_rate_red,tie_rate,max_move_reward
45,34.52171505414194,23.4954308883666,11.026284165775342,43.7696,0.4414,0.385,0.1736,70.71715728752538
46,33.94049791701051,24.738074023888558,9.202423893121955,43.0656,0.458,0.3776,0.1644,54.65
47,32.539114877969816,21.826234656708454,10.712880221261363,44.5754,0.4276,0.3776,0.1948,70.14999999999999
48,29.472947455070425,22.25492386369243,7.218023591377997,45.7318,0.4266,0.357,0.2164,61.43377223398316
49,32.17062955795922,21.673531462546986,10.497098095412232,43.8264,0.4354,0.3828,0.1818,69.9894448724536
50,31.718105352684994,22.104544800226076,9.613560552458923,44.0626,0.4266,0.3714,0.202,79.7758342613226
51,30.971276187562324,16.883041678233308,14.088234509329018,53.7174,0.4462,0.4204,0.1334,81.10358983848622
52,27.28475765218134,13.518098637470416,13.766659014710923,56.637,0.41,0.405,0.185,85.17041684766872
53,30.079683117343777,15.013747853089113,15.06593526425466,55.9484,0.4116,0.3972,0.1912,85.55
54,30.07253439547544,14.72973608025284,15.342798315222602,56.1138,0.416,0.406,0.178,80.21833752096445
55,32.46317262157511,14.678579219251825,17.784593402323285,53.7156,0.4148,0.4168,0.1684,71.56270166537925
56,31.724773261499205,16.38842135261376,15.33635190888545,55.159,0.4134,0.3906,0.196,71.2258342613226
57,32.535204572064316,17.217194345704932,15.318010226359382,54.1188,0.4236,0.4032,0.1732,78.25
58,26.694999265404658,13.301389966245297,13.393609299159358,55.458,0.4064,0.3982,0.1954,85.85
59,26.264471604998874,12.96467723030911,13.299794374689762,54.6486,0.4062,0.4032,0.1906,85.44999999999999
