epoch,average_epoch_reward,average_blue_reward,average_red_reward,average_episode_length,win_rate_blue,win_rate_red,tie_rate,max_move_reward,epoch_time_s
43,6.615313337707519,10.922834655761719,-4.307521318054199,59.5008,0.5012,0.4202,0.0786,12.4,168.84
44,5.64805835723877,10.094305043792724,-4.446246686553955,59.5242,0.4976,0.4188,0.0836,12.4,168.31
45,6.370993796539307,8.804751236724854,-2.433757440185547,61.0796,0.4848,0.4282,0.087,12.4,173.24
46,6.209904765319824,6.770479541015625,-0.5605747756958008,60.4158,0.4822,0.4346,0.0832,12.4,171.38
47,7.582059272003174,9.450097973632813,-1.8680387016296387,61.668,0.4894,0.4278,0.0828,12.4,176.02
48,4.472981183624268,6.111825703430176,-1.6388445198059083,61.5622,0.4816,0.4366,0.0818,12.4,175.83
49,5.709021775817871,4.785265619659424,0.9237561561584473,61.3994,0.4694,0.437,0.0936,12.4,174.06
50,4.478948649597168,7.3638592582702636,-2.8849106086730956,61.4746,0.4838,0.4268,0.0894,12.4,173.85
51,4.079652800750733,8.305858853912353,-4.226206053161621,62.8188,0.4846,0.4214,0.094,12.4,178.48
52,2.1689087371826172,5.544193844604492,-3.375285107421875,63.4702,0.4784,0.4294,0.0922,12.4,181.03
53,4.460181507110596,5.8239575897216795,-1.363776082611084,64.1802,0.4722,0.4372,0.0906,12.4,182.72
54,4.276024443817139,6.601712911224365,-2.3256884674072267,63.9748,0.4824,0.4284,0.0892,12.4,182.18
55,5.255741932678223,7.111170598602295,-1.8554286659240722,63.5894,0.479,0.4344,0.0866,12.4,181.42
56,2.4817227851867676,6.023748926544189,-3.5420261413574217,65.0766,0.476,0.4224,0.1016,12.4,184.95
