epoch,average_epoch_reward,average_blue_reward,average_red_reward,average_episode_length,win_rate_blue,win_rate_red,tie_rate,max_move_reward
42,158.9951657695677,80.23291203793508,78.76225373163261,67.3644,0.3872,0.4512,0.1616,66.40845240525775
43,159.91108389782818,72.02600199026375,87.88508190756443,66.9252,0.3508,0.4736,0.1756,71.09384471871911
44,155.23360227490025,65.71194413386216,89.52165814103807,68.2964,0.3188,0.4756,0.2056,66.91715728752537
45,154.3162445743232,63.23027422707743,91.08597034724578,68.5708,0.3028,0.484,0.2132,69.55
46,152.89157546571047,59.90205732550445,92.989518140206,69.5512,0.2756,0.466,0.2584,67.29504902432036
47,154.86174531494984,62.30692305535592,92.55482225959392,68.6364,0.2876,0.4604,0.252,71.11547921200882
48,154.49364136459306,57.32331969507936,97.17032166951368,68.5008,0.2616,0.4624,0.276,66.55845240525774
49,154.85200123431494,52.27812120531364,102.5738800290013,69.2132,0.2412,0.47,0.2888,66.47639320225001
50,153.92614480760548,45.768270599542845,108.15787420806265,70.032,0.2304,0.486,0.2836,66.47639320225001
51,155.86372498531392,47.50092418306778,108.36280080224616,69.302,0.2396,0.4736,0.2868,67.31715728752538
52,150.94629316778207,52.893973977912566,98.05231918986952,71.836,0.25,0.4388,0.3112,68.53786796564403
53,150.44091150320367,46.782072970960385,103.65883853224331,72.2488,0.2392,0.4444,0.3164,66.97639320225001
54,148.25994774063793,50.18897010458326,98.07097763605466,74.2256,0.2524,0.4372,0.3104,66.64999999999999
55,146.22768191041746,50.57892462591482,95.64875728450264,75.452,0.258,0.4168,0.3252,66.85
56,141.73740638162295,52.99744768971348,88.73995869190945,78.472,0.264,0.3992,0.3368,66.64999999999999
57,138.33749688511526,43.83759841827736,94.4998984668379,81.1932,0.2264,0.3848,0.3888,66.74504902432037
58,131.18916593867655,40.871417842162835,90.3177480965137,83.3296,0.2104,0.3548,0.4348,66.64999999999999
59,123.75229497648068,18.076613583290587,105.6756813931901,86.9304,0.1348,0.3812,0.484,56.385424868893544
