epoch,games,blue_wins,red_wins,ties,avg_moves,policy_loss,value_loss,total_loss,avg_grad_norm,policy_entropy_nats,avg_root_val_winner,avg_root_val_loser,buffer_size,num_workers,epoch_time_s
17,100,43,40,17,62.55,1.361665765285492,0.4079738412499428,2.5855872840881347,2.1876038937568665,1.1299779415130615,0.6873,-0.6277,59391,24,210.2
18,100,45,30,25,68.59,1.3583447351455689,0.3879292862415314,2.522132592201233,1.735955621957779,1.1412572860717773,0.6117,-0.6279,66348,24,235.3
19,100,50,26,24,68.9,1.3613713405132293,0.3851394478082657,2.5167896904945373,1.866679560303688,1.136751651763916,0.4857,-0.6804,73357,24,266.7
20,100,52,30,18,65.79,1.3595486168861388,0.37254197800159455,2.477174555301666,1.721898472905159,1.123884916305542,0.6268,-0.6756,80053,24,255.5
21,100,43,37,20,66.37,1.3597138504981994,0.3606699956059456,2.4417238311767577,1.6536223685741425,1.1432490348815918,0.4829,-0.6751,86804,24,245.9
22,100,40,39,21,66.37,1.3530828223228455,0.35399496638774874,2.415067719459534,1.6264609231948852,1.1117252111434937,0.5584,-0.6949,93563,24,261.2
23,100,43,29,28,74.54,1.3546081137657167,0.35541087996959686,2.4208407497406004,1.5437895559072494,1.1166112422943115,0.3992,-0.6349,101148,24,296.6
24,100,47,28,25,64.55,1.353918463230133,0.3589979298710823,2.430912260532379,1.5904163718223572,1.1218833923339844,0.5306,-0.6125,107738,24,242.7
25,100,47,28,25,64.63,1.3546050133705139,0.35323362416028975,2.4143058886528017,1.6264479955434799,1.130263090133667,0.5043,-0.6757,114316,24,270.9
26,100,45,38,17,62.05,1.348210284948349,0.3353677696585655,2.354313594818115,1.39729762506485,1.1024057865142822,0.5995,-0.7388,120643,24,221.1
27,100,52,34,14,59.24,1.3439825525283813,0.32574262326955794,2.3212104239463804,1.4057355996370315,1.1360745429992676,0.5785,-0.8037,126661,24,199.4
28,100,51,30,19,70.82,1.3434779493808746,0.32697763708233835,2.324410865306854,1.406309765458107,1.1260502338409424,0.5983,-0.6984,133866,24,240.0
29,100,52,28,20,74.2,1.3497871530056,0.324575434923172,2.3235134620666504,1.3277506161928176,1.111201524734497,0.5088,-0.7161,141389,24,254.0
30,100,41,41,18,64.68,1.3436941075325013,0.3173265376389027,2.2956737232208253,1.2906883894205092,1.1223849058151245,0.5357,-0.7351,147987,24,256.2
31,100,48,33,19,73.81,1.3426234543323516,0.3148860021531582,2.2872814650535584,1.2956270091533661,1.139021396636963,0.5393,-0.6885,155484,24,279.2
32,100,54,27,19,67.43,1.3418439083099365,0.3102889176607132,2.2727106575965883,1.3023792260885239,1.1122207641601562,0.578,-0.7331,162349,24,241.5
33,100,51,31,18,60.88,1.340432508468628,0.30467170947790145,2.254447644710541,1.2497148797512054,1.1344410181045532,0.6063,-0.7057,168538,24,216.5
34,100,47,36,17,64.03,1.3364488847255707,0.30246965876221654,2.2438578584194184,1.2053206830024719,1.129720687866211,0.5949,-0.7216,175066,24,227.6
35,100,50,32,18,70.4,1.3393077251911163,0.3001368706226349,2.2397183310985564,1.205937270641327,1.1267826557159424,0.6167,-0.7231,147987,24,248.2
36,100,55,32,13,73.29,1.3366795654296875,0.3050941658616066,2.251962063789368,1.227657575249672,1.110690951347351,0.5743,-0.7609,155445,24,284.0
37,100,44,37,19,72.19,1.3380016429424286,0.29601404345035554,2.2260437672138216,1.1765442708730698,1.1368385553359985,0.5845,-0.7185,162777,24,274.7
38,100,54,31,15,70.16,1.33325852060318,0.2879754143059254,2.197184768676758,1.0809722954034806,1.1111042499542236,0.5996,-0.7731,169912,24,265.5
39,100,47,36,17,71.0,1.3358048775196076,0.2982812533378601,2.2306486394405365,1.2897341066598893,1.1267324686050415,0.5715,-0.73,177123,24,276.7
